grp.10  grp.11  grp.12  grp.13  grp.14  grp.15
6.700E+16       6.881E+16       4.797E+16       3.764E+16       4.573E+16       1.215E+18
5.539E+16       5.812E+16       4.119E+16       3.267E+16       4.023E+16       1.424E+18
4.402E+16       4.721E+16       3.397E+16       2.726E+16       3.402E+16       1.483E+18
3.418E+16       3.725E+16       2.717E+16       2.201E+16       2.775E+16       1.433E+18
2.645E+16       2.915E+16       2.146E+16       1.753E+16       2.229E+16       1.321E+18
2.064E+16       2.288E+16       1.694E+16       1.390E+16       1.777E+16       1.173E+18
1.649E+16       1.830E+16       1.357E+16       1.116E+16       1.431E+16       1.008E+18
1.363E+16       1.507E+16       1.116E+16       9.163E+15       1.174E+16       8.357E+17
1.177E+16       1.292E+16       9.500E+15       7.771E+15       9.912E+15       6.583E+17
1.063E+16       1.152E+16       8.384E+15       6.797E+15       8.598E+15       4.737E+17
9.963E+15       1.057E+16       7.526E+15       6.049E+15       7.529E+15       2.690E+17
9.577E+15       9.868E+15       6.829E+15       5.472E+15       6.645E+15       1.285E+17
9.187E+15       9.100E+15       6.076E+15       4.865E+15       5.747E+15       7.571E+16
8.691E+15       8.194E+15       5.224E+15       4.159E+15       4.744E+15       3.582E+16
8.237E+15       7.440E+15       4.549E+15       3.578E+15       3.951E+15       1.722E+16
7.809E+15       6.799E+15       4.000E+15       3.099E+15       3.319E+15       8.513E+15
7.403E+15       6.249E+15       3.551E+15       2.704E+15       2.813E+15       4.215E+15
7.013E+15       5.768E+15       3.181E+15       2.379E+15       2.407E+15       2.206E+15
6.634E+15       5.344E+15       2.872E+15       2.110E+15       2.082E+15       1.182E+15
6.265E+15       4.964E+15       2.612E+15       1.887E+15       1.821E+15       7.041E+14
5.904E+15       4.620E+15       2.391E+15       1.703E+15       1.613E+15       4.482E+14
5.549E+15       4.306E+15       2.204E+15       1.552E+15       1.449E+15       3.343E+14
5.201E+15       4.017E+15       2.044E+15       1.430E+15       1.323E+15       2.778E+14
4.857E+15       3.750E+15       1.908E+15       1.332E+15       1.230E+15       2.821E+14
4.519E+15       3.505E+15       1.796E+15       1.256E+15       1.167E+15       3.341E+14
4.183E+15       3.278E+15       1.706E+15       1.203E+15       1.134E+15       4.943E+14
3.857E+15       3.076E+15       1.641E+15       1.171E+15       1.131E+15       8.201E+14
3.524E+15       2.889E+15       1.600E+15       1.161E+15       1.163E+15       1.579E+15
3.345E+15       2.795E+15       1.586E+15       1.161E+15       1.188E+15       2.137E+15
3.343E+15       2.794E+15       1.586E+15       1.161E+15       1.188E+15       2.143E+15
3.341E+15       2.792E+15       1.586E+15       1.161E+15       1.188E+15       2.148E+15
3.339E+15       2.791E+15       1.585E+15       1.161E+15       1.188E+15       2.152E+15
3.337E+15       2.790E+15       1.585E+15       1.161E+15       1.189E+15       2.156E+15
3.335E+15       2.789E+15       1.585E+15       1.161E+15       1.189E+15       2.160E+15
3.333E+15       2.789E+15       1.585E+15       1.161E+15       1.189E+15       2.163E+15
3.332E+15       2.788E+15       1.584E+15       1.161E+15       1.189E+15       2.166E+15
3.331E+15       2.787E+15       1.584E+15       1.160E+15       1.189E+15       2.169E+15
3.329E+15       2.786E+15       1.584E+15       1.160E+15       1.189E+15       2.171E+15
3.328E+15       2.786E+15       1.584E+15       1.160E+15       1.189E+15       2.173E+15
3.327E+15       2.785E+15       1.584E+15       1.160E+15       1.189E+15       2.175E+15
3.326E+15       2.785E+15       1.584E+15       1.160E+15       1.189E+15       2.177E+15
3.325E+15       2.784E+15       1.583E+15       1.160E+15       1.189E+15       2.179E+15
3.324E+15       2.784E+15       1.583E+15       1.160E+15       1.189E+15       2.181E+15
3.323E+15       2.783E+15       1.583E+15       1.160E+15       1.189E+15       2.182E+15
3.322E+15       2.783E+15       1.583E+15       1.160E+15       1.189E+15       2.184E+15
3.321E+15       2.782E+15       1.583E+15       1.160E+15       1.189E+15       2.185E+15
3.321E+15       2.782E+15       1.583E+15       1.160E+15       1.189E+15       2.187E+15
3.320E+15       2.781E+15       1.583E+15       1.160E+15       1.189E+15       2.188E+15
3.319E+15       2.781E+15       1.583E+15       1.160E+15       1.189E+15       2.189E+15
3.319E+15       2.781E+15       1.583E+15       1.160E+15       1.189E+15       2.190E+15
3.318E+15       2.780E+15       1.582E+15       1.160E+15       1.189E+15       2.192E+15
3.317E+15       2.780E+15       1.582E+15       1.160E+15       1.189E+15       2.193E+15
3.317E+15       2.780E+15       1.582E+15       1.160E+15       1.189E+15       2.194E+15
3.316E+15       2.780E+15       1.582E+15       1.159E+15       1.189E+15       2.195E+15
3.316E+15       2.779E+15       1.582E+15       1.159E+15       1.189E+15       2.196E+15
3.315E+15       2.779E+15       1.582E+15       1.159E+15       1.189E+15       2.197E+15
3.315E+15       2.779E+15       1.582E+15       1.159E+15       1.189E+15       2.198E+15
3.315E+15       2.779E+15       1.582E+15       1.159E+15       1.190E+15       2.199E+15
3.314E+15       2.779E+15       1.582E+15       1.159E+15       1.190E+15       2.200E+15
3.314E+15       2.779E+15       1.582E+15       1.159E+15       1.190E+15       2.202E+15
3.314E+15       2.778E+15       1.582E+15       1.159E+15       1.190E+15       2.203E+15
3.313E+15       2.778E+15       1.582E+15       1.159E+15       1.190E+15       2.204E+15
3.313E+15       2.778E+15       1.582E+15       1.159E+15       1.190E+15       2.205E+15
3.313E+15       2.778E+15       1.582E+15       1.159E+15       1.190E+15       2.207E+15
3.313E+15       2.778E+15       1.582E+15       1.159E+15       1.190E+15       2.208E+15
3.313E+15       2.778E+15       1.582E+15       1.159E+15       1.190E+15       2.210E+15
3.313E+15       2.778E+15       1.582E+15       1.159E+15       1.190E+15       2.211E+15
3.312E+15       2.778E+15       1.582E+15       1.159E+15       1.190E+15       2.213E+15
3.312E+15       2.778E+15       1.582E+15       1.159E+15       1.190E+15       2.215E+15
3.312E+15       2.779E+15       1.582E+15       1.160E+15       1.190E+15       2.217E+15
3.313E+15       2.779E+15       1.582E+15       1.160E+15       1.190E+15       2.220E+15
3.313E+15       2.779E+15       1.582E+15       1.160E+15       1.190E+15       2.222E+15
3.313E+15       2.779E+15       1.583E+15       1.160E+15       1.190E+15       2.225E+15
3.313E+15       2.780E+15       1.583E+15       1.160E+15       1.191E+15       2.229E+15
3.313E+15       2.780E+15       1.583E+15       1.160E+15       1.191E+15       2.232E+15
